id,measuretype_id,playerround_id
41,133,724
30,132,684
44,133,723
45,134,723
16,133,650
42,132,721
43,134,721
19,132,652
31,133,702
75,132,823
76,133,823
88,132,870
89,133,870
90,134,870
91,136,870
74,132,824
94,132,874
95,133,874
96,136,874
56,132,778
77,133,821
78,134,821
92,132,872
93,136,872
10,132,633
22,136,669
21,136,665
26,133,671
25,133,664
34,136,708
11,133,634
35,136,706
48,134,733
49,132,727
50,133,727
51,134,727
52,136,727
33,132,694
20,133,643
36,132,699
37,134,699
53,132,731
54,133,731
17,133,647
18,136,647
46,132,730
47,134,730
24,132,661
23,132,662
55,133,734
12,132,629
13,133,629
14,134,629
39,132,713
40,133,713
32,133,674
38,132,716
15,134,630
27,132,675
28,133,675
29,136,675
65,133,802
66,132,799
69,132,800
109,132,880
67,132,792
108,133,881
86,132,836
68,133,790
58,132,781
80,133,854
81,136,854
57,133,786
70,136,832
84,132,853
85,134,853
72,132,828
82,133,852
83,134,852
79,132,855
59,133,780
104,132,890
105,133,890
106,134,890
73,132,818
97,133,897
107,132,893
71,132,819
99,133,891
64,136,804
101,132,887
102,133,887
87,134,844
98,133,888
100,134,885
60,132,793
62,133,797
63,136,797
103,132,883
110,132,898
111,133,898
112,134,898
113,136,898
61,133,795
