id,timestamp,pluvial_flood_intensity,fluvial_flood_intensity,group_state,round_number,group_id
318,2025-10-07T11:30:49,0,0,LOGIN,0,97
325,2025-10-07T14:22:01,6,9,SHOW_SUMMARY,1,97
328,2025-10-07T14:43:19,1,6,SHOW_SUMMARY,2,97
332,2025-10-07T14:51:08,1,6,SHOW_SUMMARY,3,97
336,2025-10-07T14:58:19,8,6,SHOW_SUMMARY,4,97
321,2025-10-07T13:52:09,0,0,LOGIN,0,98
324,2025-10-07T14:19:28,2,2,SHOW_SUMMARY,1,98
329,2025-10-07T14:45:48,10,9,SHOW_SUMMARY,2,98
334,2025-10-07T14:56:55,5,3,SHOW_SUMMARY,3,98
337,2025-10-07T15:03:16,5,3,SHOW_SUMMARY,4,98
319,2025-10-07T13:40:46,0,0,LOGIN,0,99
322,2025-10-07T14:17:41,1,5,SHOW_SUMMARY,1,99
326,2025-10-07T14:39:30,7,8,SHOW_SUMMARY,2,99
331,2025-10-07T14:50:52,6,4,SHOW_SUMMARY,3,99
335,2025-10-07T14:57:56,4,6,SHOW_SUMMARY,4,99
320,2025-10-07T13:47:36,0,0,LOGIN,0,100
323,2025-10-07T14:18:01,9,7,SHOW_SUMMARY,1,100
327,2025-10-07T14:40:16,4,7,SHOW_SUMMARY,2,100
330,2025-10-07T14:49:01,7,7,SHOW_SUMMARY,3,100
333,2025-10-07T14:55:49,1,4,SHOW_SUMMARY,4,100
