id,bought_in_round,measuretype_id,housegroup_id,used_in_round
1141,1,137,1611,-1
1170,2,141,1611,-1
1190,3,142,1611,-1
1191,3,140,1611,-1
1148,1,138,1612,-1
1171,2,137,1612,-1
1172,2,140,1612,-1
1173,2,141,1612,-1
1147,1,137,1613,-1
1269,4,142,1613,-1
1150,1,137,1619,-1
1151,1,140,1619,-1
1138,1,137,1622,-1
1139,1,140,1622,-1
1140,1,141,1622,-1
1169,2,138,1622,-1
1146,1,142,1623,3
1226,4,138,1649,-1
1227,4,138,1650,-1
1228,4,140,1650,-1
1270,4,137,1650,-1
1271,4,141,1650,-1
1229,4,142,1651,-1
1230,4,141,1653,-1
1231,4,138,1653,-1
1232,4,138,1654,-1
1233,4,141,1654,-1
1234,4,137,1655,-1
1235,4,141,1655,-1
1236,4,138,1656,-1
1237,4,137,1657,-1
1238,4,138,1657,-1
1239,4,142,1658,-1
1240,4,138,1659,-1
1241,4,141,1659,-1
1242,4,141,1660,-1
1268,4,138,1660,-1
1156,1,137,1596,-1
1157,1,142,1596,-1
1174,2,141,1596,-1
1246,3,138,1596,-1
1247,3,140,1596,-1
1154,1,142,1597,-1
1155,1,140,1597,-1
1178,2,138,1597,-1
1179,2,137,1597,-1
1180,2,141,1597,-1
1152,1,137,1600,-1
1153,1,140,1600,-1
1243,3,138,1600,-1
1244,3,142,1600,-1
1245,3,141,1600,-1
1149,1,141,1604,-1
1175,2,137,1604,-1
1176,2,140,1604,-1
1248,3,138,1604,-1
1279,4,142,1604,-1
1251,4,138,1661,-1
1252,4,138,1662,-1
1253,4,140,1662,-1
1254,4,142,1663,-1
1275,4,138,1663,-1
1276,4,137,1663,-1
1277,4,140,1663,-1
1278,4,141,1663,-1
1255,4,141,1665,-1
1256,4,138,1665,-1
1257,4,138,1666,-1
1258,4,141,1666,-1
1259,4,137,1667,-1
1260,4,141,1667,-1
1261,4,138,1668,-1
1262,4,137,1669,-1
1263,4,138,1669,-1
1264,4,142,1670,-1
1265,4,138,1671,-1
1266,4,141,1671,-1
1267,4,141,1672,-1
1142,1,137,1566,-1
1143,1,142,1566,-1
1144,1,140,1566,-1
1145,1,141,1566,-1
1168,2,138,1566,-1
1135,1,142,1567,-1
1136,1,140,1567,-1
1137,1,141,1567,-1
1186,3,138,1567,-1
1187,3,137,1567,-1
1166,2,142,1568,-1
1167,2,140,1568,-1
1188,3,138,1568,-1
1189,3,141,1568,-1
1129,1,137,1577,-1
1130,1,140,1577,-1
1131,1,141,1577,-1
1162,2,138,1577,-1
1163,2,142,1577,-1
1132,1,142,1578,-1
1209,4,138,1637,-1
1272,4,137,1637,-1
1210,4,138,1638,-1
1211,4,140,1638,-1
1212,4,142,1639,-1
1213,4,141,1641,-1
1214,4,138,1641,-1
1215,4,138,1642,-1
1216,4,141,1642,-1
1217,4,137,1643,-1
1218,4,141,1643,-1
1273,4,138,1643,-1
1274,4,140,1643,-1
1219,4,138,1644,-1
1220,4,137,1645,-1
1221,4,138,1645,-1
1222,4,142,1646,-1
1223,4,138,1647,-1
1224,4,141,1647,-1
1225,4,141,1648,-1
1164,2,138,1583,-1
1165,2,141,1583,-1
1182,3,137,1583,-1
1183,3,142,1583,-1
1184,3,140,1583,-1
1126,1,137,1586,-1
1127,1,140,1586,-1
1158,2,142,1586,-1
1181,3,141,1586,-1
1133,1,137,1587,-1
1134,1,141,1587,-1
1177,3,138,1587,-1
1249,4,140,1587,-1
1128,1,142,1593,-1
1161,2,141,1593,-1
1185,3,137,1593,-1
1250,4,140,1593,-1
1123,1,138,1594,-1
1124,1,142,1594,-1
1125,1,141,1594,-1
1159,2,137,1594,-1
1160,2,140,1594,-1
1192,4,138,1625,-1
1193,4,138,1626,-1
1194,4,140,1626,-1
1195,4,142,1627,-1
1196,4,141,1629,-1
1197,4,138,1629,-1
1198,4,138,1630,-1
1199,4,141,1630,-1
1200,4,137,1631,-1
1201,4,141,1631,-1
1202,4,138,1632,-1
1203,4,137,1633,-1
1204,4,138,1633,-1
1205,4,142,1634,-1
1206,4,138,1635,-1
1207,4,141,1635,-1
1208,4,141,1636,-1
