id,code,user_id,group_id,welfaretype_id
698,t1p1,,97,124
699,t1p2,,97,126
700,t1p3,,97,123
701,t1p4,,97,125
702,t1p5,,97,127
703,t1p6,,97,128
704,t1p7,,97,126
705,t1p8,,97,126
706,t2p1,,98,124
707,t2p2,,98,126
708,t2p3,,98,123
709,t2p4,,98,125
710,t2p5,,98,127
711,t2p6,,98,128
712,t2p7,,98,126
713,t2p8,,98,126
714,t3p1,,99,124
715,t3p2,,99,126
716,t3p3,,99,123
717,t3p4,,99,125
718,t3p5,,99,127
719,t3p6,,99,128
720,t3p7,,99,126
721,t3p8,,99,126
722,t4p1,,100,124
723,t4p2,,100,126
724,t4p3,,100,123
725,t4p4,,100,125
726,t4p5,,100,127
727,t4p6,,100,128
728,t4p7,,100,126
729,t4p8,,100,126
730,t5p1,,101,124
731,t5p2,,101,126
732,t5p3,,101,123
733,t5p4,,101,125
734,t5p5,,101,127
735,t5p6,,101,128
736,t5p7,,101,126
737,t5p8,,101,126
738,t6p1,,102,124
739,t6p2,,102,126
740,t6p3,,102,123
741,t6p4,,102,125
742,t6p5,,102,127
743,t6p6,,102,128
744,t6p7,,102,126
745,t6p8,,102,126
746,t7p1,,103,124
747,t7p2,,103,126
748,t7p3,,103,123
749,t7p4,,103,125
750,t7p5,,103,127
751,t7p6,,103,128
752,t7p7,,103,126
753,t7p8,,103,126
754,t8p1,,104,124
755,t8p2,,104,126
756,t8p3,,104,123
757,t8p4,,104,125
758,t8p5,,104,127
759,t8p6,,104,128
760,t8p7,,104,126
761,t8p8,,104,126
